code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
534382;Sázava;1 877;1 867;1 877;216;5;2;203;2;193;155;27;7;22;3;4;180;0;5;78;515;1;4;37;0;7;9;5;182;5
532231;Slověnice;22;22;22;3;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;8;0;0;2;0;0;0;0;4;0
530611;Smilkov;146;144;146;3;0;0;15;0;14;17;1;1;0;0;0;8;0;0;1;62;0;0;10;0;0;0;0;12;0
532436;Snět;64;64;64;11;0;0;3;0;2;1;0;0;0;0;0;11;0;0;1;21;0;0;8;0;0;0;0;6;0
530638;Soběhrdy;227;225;227;23;0;0;17;0;24;12;2;1;2;2;0;25;0;0;14;74;0;0;9;0;2;1;1;16;0
599387;Soutice;146;146;146;6;0;0;14;0;11;8;1;1;4;0;0;8;0;0;2;70;0;0;4;0;0;3;0;14;0
599379;Stranný;51;51;51;6;0;0;7;0;5;6;0;0;0;0;0;4;0;0;5;13;0;0;0;0;1;0;0;3;1
599361;Strojetice;77;76;77;1;0;0;8;0;7;10;1;2;1;0;0;8;0;0;4;23;0;1;3;0;1;0;0;6;0
530689;Struhařov;461;459;461;59;1;2;24;0;32;35;7;2;5;0;1;48;0;1;15;180;0;0;10;0;2;0;1;31;3
530701;Střezimíř;174;174;174;12;0;0;5;0;17;12;1;2;6;0;0;16;0;0;1;76;0;0;7;1;0;0;0;18;0
530719;Studený;54;54;54;8;1;0;3;0;8;7;0;0;0;0;0;2;0;0;0;18;1;0;5;0;0;0;0;1;0
532509;Šetějovice;38;38;38;3;0;0;4;0;4;1;0;0;0;0;0;1;0;0;1;15;0;0;5;0;0;0;0;4;0
530751;Tehov;165;165;165;3;0;0;21;0;13;15;1;2;0;0;0;11;0;0;8;56;0;0;7;0;1;0;0;26;1
530760;Teplýšovice;289;288;289;22;0;0;25;0;41;17;6;2;3;0;0;26;0;1;4;96;0;1;24;0;3;0;0;17;0
530778;Tichonice;137;137;137;16;0;0;14;0;5;9;0;0;5;1;0;10;1;0;5;50;0;0;2;0;0;6;0;13;0
532592;Tisem;128;128;128;8;0;0;15;0;12;7;3;0;1;0;0;12;0;0;6;42;0;0;3;0;0;0;0;19;0
532541;Tomice;75;75;75;4;0;0;4;0;2;8;0;0;2;1;0;2;0;0;0;26;0;0;13;0;0;0;1;12;0
530816;Trhový Štěpánov;642;634;642;62;0;1;42;0;48;40;5;7;6;0;0;59;0;0;25;217;0;2;45;0;6;1;2;66;0
532304;Třebešice;68;68;68;13;0;0;3;0;8;5;1;0;1;0;0;15;0;0;3;14;0;0;2;0;0;0;0;3;0
530841;Týnec nad Sázavou;2 940;2 922;2 940;295;5;0;175;4;272;265;33;33;36;0;5;307;3;5;104;999;1;8;55;0;9;4;20;272;12
532061;Václavice;290;289;290;30;0;0;27;0;41;12;0;1;13;0;0;32;0;1;5;85;0;1;10;0;4;1;2;21;3
530867;Veliš;189;189;189;9;0;0;9;0;16;15;0;2;1;0;1;6;0;0;8;71;0;1;23;0;0;2;0;25;0
530883;Vlašim;5 677;5 644;5 677;504;9;8;534;2;368;465;57;32;61;2;2;525;2;2;216;1 862;2;7;309;3;30;12;8;610;12
532614;Vodslivy;43;43;43;5;0;0;3;0;1;0;0;1;2;1;0;4;0;0;2;10;0;0;5;0;0;0;1;8;0
530891;Vojkov;250;249;250;21;1;1;23;1;15;23;2;1;1;0;0;27;0;0;7;90;1;0;14;2;3;0;0;16;0
530905;Votice;2 229;2 219;2 229;208;4;0;196;1;182;167;15;15;34;7;2;231;1;0;90;779;0;4;74;1;10;4;3;187;4
530913;Vracovice;201;199;201;14;1;0;14;0;15;9;0;3;6;0;0;22;0;0;10;67;3;0;22;0;0;1;0;12;0
530921;Vranov;244;244;244;29;0;0;11;0;26;21;2;1;3;1;1;28;0;1;14;80;1;0;14;0;0;0;0;11;0
530948;Vrchotovy Janovice;492;488;492;24;1;0;39;0;49;38;7;6;3;1;1;54;0;0;19;174;0;2;12;0;3;1;1;52;1
532266;Všechlapy;65;64;65;17;0;0;4;0;6;5;0;0;0;0;0;7;0;0;7;11;0;0;1;0;0;0;0;6;0
513482;Vysoký Újezd;113;113;113;20;0;0;11;0;1;12;3;5;4;1;0;3;0;0;8;30;0;0;2;0;8;0;1;4;0
571415;Xaverov;36;36;36;3;0;0;6;0;10;4;0;0;0;0;0;5;0;0;0;3;0;0;4;0;0;0;0;1;0
531022;Zdislavice;320;318;320;18;1;0;23;0;25;34;2;1;7;0;0;24;0;0;10;120;0;0;24;0;6;0;1;22;0
531049;Zvěstov;178;178;178;20;0;0;16;0;21;6;1;2;4;0;0;10;0;0;6;65;0;0;10;0;1;0;0;15;1
